month,artist_name,plays_t,unique_tracks_t,plays_per_track_t,days_active_t,last_play_gap_days_t,last_play_gap_days_t_was_negative,total_scrobbles_month,total_monthly_scrobbles,share_t,first_seen_month,months_since_first_seen,is_first_month,track_novelty_rate_t
2020-03-01 00:00:00+00:00,Imagine Dragons,15,14,1.0714285714285714,4,1.3319328703703703,0,764,764,0.01963350785340314,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Jaymes Young,1,1,1.0,1,8.377766203703704,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Jaz Karis,1,1,1.0,1,6.255543981481481,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Jeremy Zucker,6,5,1.2,2,3.1180439814814815,0,764,764,0.007853403141361256,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Joint One,1,1,1.0,1,4.2263773148148145,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Joji,11,11,1.0,3,7.336099537037037,0,764,764,0.014397905759162303,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Jon Bellion,1,1,1.0,1,8.170127314814815,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Jordan Rakei,1,1,1.0,1,10.946516203703704,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Josh A,18,12,1.5,1,5.323599537037037,0,764,764,0.02356020942408377,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Joyner Lucas,47,39,1.205128205128205,3,0.01457175925925926,0,764,764,0.061518324607329845,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Keaton Simons,1,1,1.0,1,1.3979050925925927,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Kid Bloom,1,1,1.0,1,9.016655092592593,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Kodaline,1,1,1.0,1,14.277766203703704,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Kwame,1,1,1.0,1,14.35068287037037,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,LEC,1,1,1.0,1,12.047905092592593,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,LON3R JOHNY,1,1,1.0,1,8.29443287037037,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Lil Dicky,6,6,1.0,1,0.07290509259259259,0,764,764,0.007853403141361256,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Lorde,1,1,1.0,1,2.228460648148148,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Loyalty Smith,1,1,1.0,1,14.94443287037037,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Lund,1,1,1.0,1,8.359710648148148,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Mac Miller,5,5,1.0,1,0.0006828703703703704,0,764,764,0.006544502617801047,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Macklemore & Ryan Lewis,1,1,1.0,1,1.3388773148148148,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Magic Man,1,1,1.0,1,6.273599537037037,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Michael Christmas,1,1,1.0,1,14.299293981481481,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Mike Lyte,18,10,1.8,3,4.229849537037037,0,764,764,0.02356020942408377,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Mike Stud,1,1,1.0,1,0.05832175925925926,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
2020-03-01 00:00:00+00:00,Mike Will Made-It,1,1,1.0,1,0.06596064814814814,0,764,764,0.0013089005235602095,2020-03-01 00:00:00+00:00,0,1,1.0
